proj1,proj2,proj3,proj4,proj5,proj6,proj7,points
36.21,24.24,36.0,30.8,32.97,33.1,25.09,26.6
16.12,16.82,16.9,17.7,14.75,12.8,14.76,4.9
33.42,36.05,34.1,33.5,32.69,31.0,30.01,43.7
14.75,20.31,16.1,15.1,16.96,15.5,14.39,23.5
19.49,18.72,19.0,19.5,20.29,20.3,22.92,41.8
10.64,10.17,13.3,11.5,15.67,16.3,13.17,20.4
22.22,18.95,14.4,17.4,14.93,14.0,17.64,11.4
32.84,22.23,29.3,26.3,26.81,27.8,27.67,18.7
47.75,44.23,44.1,42.9,45.74,45.4,46.62,57.1
16.41,19.38,17.7,17.8,15.64,13.4,15.15,3.0
9.49,16.5,13.5,13.6,14.94,15.8,10.34,4.2
17.8,12.64,15.4,11.7,14.97,14.8,14.02,14.1
43.38,42.44,46.5,44.2,43.92,33.9,35.7,40.3
21.58,21.24,24.6,25.5,22.04,24.4,19.05,14.2
3.86,7.68,11.8,12.9,14.27,10.7,9.3,19.4
39.37,38.18,40.8,37.9,38.45,34.7,35.37,41.1
24.98,24.83,24.2,22.6,27.01,18.3,23.06,30.1
13.21,14.39,9.4,11.9,13.66,10.9,9.37,15.2
23.26,24.22,22.8,24.1,22.37,16.1,20.57,24.2
28.56,32.46,30.0,31.6,25.89,31.9,27.43,27.3
34.19,36.97,34.7,35.6,36.08,35.9,37.57,62.7
33.99,31.53,37.0,31.5,34.43,35.4,32.96,46.8
12.4,14.38,14.3,16.1,15.89,17.5,15.19,9.2
23.52,21.24,25.5,25.1,19.9,21.9,24.54,32.6
18.98,24.81,21.7,20.8,23.67,27.0,23.07,9.2
10.07,11.62,9.3,11.5,11.08,10.5,10.88,10.2
15.36,12.34,11.3,10.1,11.81,10.2,9.02,16.6
33.26,34.63,31.2,31.7,28.93,31.1,32.21,44.7
8.84,12.9,11.1,14.9,11.08,10.6,8.56,14.5
33.94,22.69,31.6,28.8,29.18,26.2,24.51,16.8
26.42,31.04,28.3,28.7,25.4,26.4,26.02,37.3
15.54,13.15,15.0,13.6,16.31,17.8,14.51,4.4
65.88,54.89,59.6,52.6,58.25,57.5,57.54,65.6
10.67,12.21,12.2,11.4,9.82,13.0,11.56,9.4
53.12,49.61,55.2,49.7,53.26,48.4,47.64,54.6
47.82,47.83,51.4,44.4,49.09,40.3,42.92,37.6
23.06,15.51,19.2,17.7,20.49,15.6,21.55,24.6
16.74,12.6,17.7,18.9,21.24,15.1,22.14,28.0
35.42,34.17,37.0,30.4,32.51,38.6,32.69,13.9
31.74,33.0,41.3,31.2,30.3,42.3,30.71,30.4
28.08,18.31,20.6,28.9,24.87,17.3,27.46,54.7
17.14,16.56,18.4,17.0,18.14,16.2,17.88,10.4
23.5,21.17,27.5,26.6,23.52,28.9,22.03,10.4
6.13,9.82,10.8,13.0,9.23,14.4,10.36,8.7
7.26,12.49,14.4,15.7,16.26,11.4,6.57,18.0
30.82,35.1,31.3,32.7,31.73,35.9,30.66,40.3
14.33,11.37,11.4,13.2,13.75,11.3,14.04,7.9
0.0,21.43,17.7,20.1,18.14,18.8,18.83,12.7
9.16,16.96,14.7,16.5,17.81,15.5,11.71,15.9
38.75,35.88,40.2,35.0,36.56,36.5,34.95,48.3
14.31,12.8,12.4,16.2,15.52,10.0,13.9,23.2
25.99,26.97,24.1,26.5,26.95,22.5,23.33,33.7
11.69,15.98,15.8,16.4,15.9,11.1,11.98,16.1
14.49,9.93,12.3,8.5,11.72,10.4,11.24,12.3
18.61,19.26,18.1,20.3,16.83,12.9,16.52,6.7
21.8,26.43,22.4,23.2,23.48,18.4,23.24,17.7
17.83,20.19,20.9,18.2,21.8,17.1,16.92,13.5
23.9,24.55,23.0,20.8,22.3,16.9,24.19,26.5
31.99,31.51,25.6,28.6,29.73,24.1,28.6,40.5
11.75,19.33,12.0,11.9,14.22,13.6,13.24,1.4
13.99,17.01,14.8,15.6,13.27,11.6,8.57,21.9
26.52,24.52,26.2,26.8,25.11,26.3,25.77,29.8
37.31,33.14,35.4,36.2,35.75,30.9,30.82,42.8
19.55,16.73,19.0,16.7,18.71,14.8,16.05,9.7
21.16,18.85,21.1,22.1,16.82,18.9,19.88,26.5
7.24,12.0,14.7,13.4,11.37,13.1,10.02,22.6
48.89,47.87,57.1,41.8,45.84,50.1,44.08,47.7
31.83,27.99,29.7,27.7,29.03,21.7,28.25,30.5
12.73,24.65,18.0,21.6,19.06,22.1,20.27,26.6
15.73,15.46,19.2,17.5,19.48,15.5,15.33,20.8
29.86,31.81,37.8,37.9,35.24,35.4,32.25,37.5
0.0,21.84,17.7,19.6,18.16,15.7,16.33,13.6
28.23,20.73,25.3,28.2,28.88,22.7,27.57,34.3
19.48,23.23,20.2,18.0,18.93,22.0,19.12,16.4
19.06,16.15,15.6,15.1,17.5,16.9,15.14,19.4
42.11,37.78,40.6,34.2,38.49,34.5,34.94,39.7
11.68,13.54,11.8,14.7,13.66,14.2,13.28,4.6
18.06,17.75,13.1,16.5,14.07,14.9,14.16,14.8
21.01,20.97,21.3,20.7,20.55,16.8,20.19,22.0
38.29,33.65,33.9,31.8,32.65,30.7,33.0,30.9
20.68,23.24,21.7,22.5,21.61,23.2,21.23,27.3
26.88,26.98,29.2,23.6,24.85,32.1,25.65,17.5
35.94,36.93,30.3,34.2,35.92,27.8,33.0,32.6
29.71,30.45,31.7,30.3,26.41,22.1,25.72,63.9
28.11,27.53,34.1,30.7,25.73,29.9,26.43,29.5
40.52,40.85,38.0,40.1,37.25,34.9,37.79,33.8
13.13,13.12,11.8,11.3,13.25,10.6,8.5,3.5
21.0,26.47,24.8,26.0,17.72,38.5,20.78,14.1
27.99,25.43,30.6,24.6,26.12,30.7,25.53,5.4
20.89,22.29,19.7,17.6,18.02,16.5,19.27,32.4
45.68,37.94,46.5,44.1,39.49,39.8,39.49,45.9
20.07,15.28,17.9,17.8,16.33,15.6,17.14,12.0
18.89,18.03,20.0,17.9,18.69,15.7,19.35,23.6
16.19,10.62,21.6,18.6,18.63,22.0,16.14,19.9
38.9,38.4,37.9,36.2,36.77,31.4,34.03,28.9
26.8,20.33,24.5,26.0,25.15,25.5,24.55,25.5
16.97,15.19,16.2,19.5,16.19,17.2,18.13,23.9
13.37,16.47,14.1,15.4,16.01,12.3,12.93,28.5
28.36,15.65,25.0,23.2,24.88,19.0,27.17,34.2
21.49,15.98,22.4,20.3,22.95,19.5,19.16,7.6
15.04,12.99,12.3,16.2,16.18,10.9,13.11,25.5
32.15,25.47,28.4,29.2,28.51,29.6,26.76,26.0
28.54,31.28,39.6,32.1,33.05,29.2,29.75,33.8
32.71,27.96,38.3,30.0,30.93,28.5,27.09,31.8
16.05,12.32,12.3,11.6,11.46,8.6,15.54,4.9
9.94,15.27,8.7,8.8,11.16,8.1,9.23,5.4
29.26,33.15,32.0,28.0,26.48,29.7,27.56,24.2
24.91,21.04,19.8,23.7,20.37,21.8,20.58,14.9
55.63,49.1,47.3,48.3,52.54,48.3,53.67,58.9
21.97,18.53,19.6,21.5,18.13,22.0,21.71,22.1
20.94,23.67,18.1,21.4,20.54,21.0,21.88,28.9
12.46,11.0,13.5,13.1,14.94,13.3,13.79,3.4
29.26,25.97,28.1,27.3,25.86,22.8,23.51,22.1
11.22,13.13,12.2,12.1,14.58,11.6,14.9,21.1
40.08,37.64,38.9,36.3,36.48,33.5,33.76,32.0
23.94,26.48,26.3,25.9,26.89,20.5,24.76,28.5
35.83,29.37,28.4,28.4,29.89,26.6,27.58,42.4
24.49,13.56,20.1,25.1,24.48,23.2,20.89,20.5
22.8,10.97,23.7,25.7,18.1,22.2,22.04,11.1
27.95,25.25,19.2,27.7,27.62,28.7,32.04,28.3
21.46,16.76,21.7,22.3,24.62,20.0,21.02,25.6
19.62,17.12,18.8,20.6,17.8,20.8,16.28,25.4
7.67,12.07,10.3,15.0,14.04,10.2,9.41,18.2
11.91,13.47,12.3,16.2,15.23,12.6,13.36,9.5
14.05,15.36,13.5,15.1,19.45,12.1,13.71,15.5
11.31,8.83,11.3,15.3,9.67,10.4,14.06,3.4
11.18,13.3,14.6,13.8,15.52,10.3,12.09,24.7
25.01,18.58,18.3,20.4,20.59,17.0,21.58,9.6
19.46,13.84,13.8,16.8,12.23,18.1,26.32,29.2
8.76,7.73,9.6,13.7,10.36,12.3,13.19,16.0
28.74,22.84,28.3,26.6,27.14,26.4,17.55,40.1
14.7,9.61,12.9,16.1,15.75,11.7,14.2,6.4
11.3,6.34,15.5,16.5,16.24,20.6,13.89,20.0
16.16,14.52,17.1,17.1,15.38,18.0,15.95,7.4
30.87,35.71,32.0,32.6,33.5,26.7,28.82,31.9
13.78,11.34,17.2,17.4,11.78,12.9,14.69,18.3
24.03,24.25,22.7,23.3,21.34,20.5,23.68,6.3
19.88,18.59,16.3,18.3,17.67,15.0,18.96,10.0
27.17,23.65,19.8,23.0,23.58,20.4,28.74,20.0
21.87,4.83,19.7,13.2,21.08,13.9,14.41,31.0
37.92,43.76,39.0,39.7,38.33,32.8,38.89,53.3
13.75,19.9,13.8,13.6,15.73,12.4,13.13,17.0
7.99,14.9,7.9,10.2,13.86,6.6,10.79,14.9
10.01,7.21,16.1,19.2,19.42,14.3,13.99,9.8
11.14,15.56,16.6,17.2,12.19,4.9,15.54,25.1
17.88,18.7,10.7,14.8,14.34,16.6,12.68,13.9
20.15,25.17,21.7,22.2,19.24,22.1,19.96,24.0
17.2,12.9,13.4,13.7,14.89,7.6,14.81,7.2
19.65,10.31,19.7,21.4,20.71,16.4,22.45,14.1
11.56,15.01,14.2,15.4,14.62,13.6,13.86,15.9
49.02,37.15,38.9,39.8,46.26,39.7,39.67,42.2
8.04,7.72,13.5,13.0,15.48,14.4,11.97,12.6
30.72,30.49,30.7,28.7,30.72,28.9,29.28,38.2
32.88,33.73,34.3,32.6,32.14,35.1,31.35,46.9
5.45,13.18,9.8,11.2,14.36,15.6,11.56,7.7
17.29,6.22,17.0,17.3,14.06,20.2,15.38,14.3
12.38,21.56,18.1,18.6,16.19,21.3,11.39,17.5
10.65,12.9,10.4,13.3,8.58,9.0,10.36,8.2
30.33,25.01,24.7,27.2,25.05,25.0,25.34,39.1
24.01,10.09,19.8,23.1,18.68,19.1,20.52,18.3
